question_id	question_rank	document_title	paragraph_index
1	1	Tibet	10
1	2	History_of_India	47
1	3	Rajasthan	9
1	4	Slavs	34
1	5	Macintosh	21
4	1	BeiDou_Navigation_Satellite_System	18
4	2	BeiDou_Navigation_Satellite_System	12
4	3	BeiDou_Navigation_Satellite_System	33
4	4	BeiDou_Navigation_Satellite_System	3
4	5	BeiDou_Navigation_Satellite_System	5
7	1	Beyoncé	43
7	2	Beyoncé	7
7	3	Beyoncé	47
7	4	Beyoncé	16
7	5	Beyoncé	38
10	1	Roman_Republic	46
10	2	Roman_Republic	47
10	3	Roman_Republic	50
10	4	Roman_Republic	28
10	5	Roman_Republic	26
13	1	Chihuahua_(state)	37
13	2	Slavs	34
13	3	Punjab,_Pakistan	21
13	4	Chihuahua_(state)	39
13	5	Institute_of_technology	9
16	1	Atlantic_City,_New_Jersey	24
16	2	Oklahoma_City	11
16	3	Richmond,_Virginia	14
16	4	Oklahoma	2
16	5	Charleston,_South_Carolina	2
19	1	Xbox_360	25
19	2	Xbox_360	19
19	3	Xbox_360	10
19	4	Slavs	34
19	5	Symbiosis	9
22	1	Neptune	26
22	2	Neptune	31
22	3	Neptune	28
22	4	Neptune	4
22	5	Neptune	15
25	1	Asphalt	30
25	2	Slavs	34
25	3	Symbiosis	9
25	4	Punjab,_Pakistan	21
25	5	Nutrition	10
28	1	New_Delhi	50
28	2	New_Delhi	46
28	3	New_Delhi	49
28	4	New_Delhi	48
28	5	New_Delhi	10
31	1	Slavs	34
31	2	Punjab,_Pakistan	21
31	3	Symbiosis	8
31	4	Symbiosis	9
31	5	Institute_of_technology	9
34	1	New_York_City	140
34	2	New_York_City	33
34	3	New_York_City	96
34	4	New_York_City	97
34	5	The_Bronx	7
37	1	Federal_Bureau_of_Investigation	26
37	2	Federal_Bureau_of_Investigation	23
37	3	Federal_Bureau_of_Investigation	43
37	4	Federal_Bureau_of_Investigation	42
37	5	Federal_Bureau_of_Investigation	31
40	1	Chihuahua_(state)	5
40	2	Chihuahua_(state)	6
40	3	Paris	90
40	4	Slavs	34
40	5	Chihuahua_(state)	30
43	1	Middle_Ages	4
43	2	Late_Middle_Ages	3
43	3	University	24
43	4	Late_Middle_Ages	4
43	5	Middle_Ages	92
46	1	Richard_Feynman	28
46	2	Richard_Feynman	30
46	3	Richard_Feynman	16
46	4	Richard_Feynman	31
46	5	Richard_Feynman	1
49	1	Pub	24
49	2	Pub	60
49	3	Pub	29
49	4	Pub	79
49	5	Pub	22
52	1	BeiDou_Navigation_Satellite_System	12
52	2	BeiDou_Navigation_Satellite_System	18
52	3	BeiDou_Navigation_Satellite_System	5
52	4	BeiDou_Navigation_Satellite_System	33
52	5	BeiDou_Navigation_Satellite_System	2
55	1	Punjab,_Pakistan	21
55	2	Universal_Studios	21
55	3	Sony_Music_Entertainment	23
55	4	Universal_Studios	12
55	5	Hindu_philosophy	24
58	1	Slavs	34
58	2	Punjab,_Pakistan	21
58	3	Symbiosis	9
58	4	Institute_of_technology	9
58	5	Symbiosis	8
61	1	Gramophone_record	28
61	2	Gramophone_record	29
61	3	Gramophone_record	19
61	4	Gramophone_record	25
61	5	Gramophone_record	21
64	1	Russian_Soviet_Federative_Socialist_Republic	20
64	2	Tajikistan	13
64	3	Russian_Soviet_Federative_Socialist_Republic	17
64	4	Russian_Soviet_Federative_Socialist_Republic	25
64	5	Russian_Soviet_Federative_Socialist_Republic	16
67	1	Symbiosis	9
67	2	Slavs	34
67	3	Symbiosis	8
67	4	Punjab,_Pakistan	21
67	5	Institute_of_technology	9
70	1	Modern_history	17
70	2	Printed_circuit_board	17
70	3	Punjab,_Pakistan	21
70	4	Symbiosis	8
70	5	Slavs	34
73	1	The_Blitz	4
73	2	The_Blitz	15
73	3	The_Blitz	83
73	4	Slavs	34
73	5	The_Blitz	14
76	1	Miami	41
76	2	London	48
76	3	USB	16
76	4	Internet_service_provider	9
76	5	Railway_electrification_system	10
79	1	Slavs	34
79	2	Symbiosis	9
79	3	Somalis	62
79	4	Symbiosis	8
79	5	Institute_of_technology	9
82	1	Canadian_Armed_Forces	41
82	2	Symbiosis	8
82	3	Punjab,_Pakistan	21
82	4	Slavs	34
82	5	Symbiosis	9
85	1	Catalan_language	74
85	2	Old_English	6
85	3	Computer	44
85	4	Aspirated_consonant	17
85	5	Iranian_languages	13
88	1	Spanish_language_in_the_United_States	11
88	2	Spanish_language_in_the_United_States	9
88	3	Slavs	34
88	4	Punjab,_Pakistan	21
88	5	Institute_of_technology	9
91	1	Political_corruption	46
91	2	Greece	31
91	3	Pesticide	18
91	4	Punjab,_Pakistan	21
91	5	Slavs	34
94	1	Greece	58
94	2	Serbo-Croatian	21
94	3	Oklahoma	37
94	4	Southern_Europe	21
94	5	Serbo-Croatian	20
97	1	Diarrhea	14
97	2	Infection	2
97	3	Pharmaceutical_industry	18
97	4	Infection	6
97	5	History_of_science	46
100	1	Han_dynasty	5
100	2	Qing_dynasty	0
100	3	Sino-Tibetan_relations_during_the_Ming_dynasty	4
100	4	Qing_dynasty	53
100	5	Sino-Tibetan_relations_during_the_Ming_dynasty	8
103	1	History_of_India	28
103	2	Slavs	34
103	3	Symbiosis	9
103	4	Military_history_of_the_United_States	39
103	5	Punjab,_Pakistan	21
106	1	Dutch_Republic	19
106	2	2008_Summer_Olympics_torch_relay	54
106	3	Imamah_(Shia_doctrine)	10
106	4	Slavs	34
106	5	Punjab,_Pakistan	21
109	1	Sino-Tibetan_relations_during_the_Ming_dynasty	59
109	2	Modern_history	17
109	3	Sino-Tibetan_relations_during_the_Ming_dynasty	34
109	4	Printed_circuit_board	17
109	5	Slavs	34
112	1	Queen_Victoria	31
112	2	Queen_Victoria	24
112	3	Queen_Victoria	26
112	4	Queen_Victoria	36
112	5	Queen_Victoria	14
115	1	Hunting	34
115	2	Symbiosis	9
115	3	Geological_history_of_Earth	22
115	4	Geological_history_of_Earth	21
115	5	Modern_history	68
118	1	Nigeria	0
118	2	Nigeria	46
118	3	Nigeria	10
118	4	Nigeria	16
118	5	Nigeria	17
121	1	Zinc	7
121	2	Zinc	10
121	3	Zinc	6
121	4	Zinc	16
121	5	Zinc	17
124	1	Hunting	14
124	2	Hunting	10
124	3	Hunting	9
124	4	Hunting	12
124	5	Hunting	29
127	1	Slavs	34
127	2	Capacitor	29
127	3	Pesticide	18
127	4	Symbiosis	9
127	5	Punjab,_Pakistan	21
130	1	Bird_migration	52
130	2	Bird_migration	27
130	3	Bird_migration	51
130	4	Bird_migration	28
130	5	Bird	19
133	1	Military_history_of_the_United_States	27
133	2	Richmond,_Virginia	34
133	3	Richmond,_Virginia	13
133	4	Detroit	7
133	5	Samoa	3
136	1	Modern_history	17
136	2	Printed_circuit_board	17
136	3	Galicia_(Spain)	24
136	4	Slavs	34
136	5	Symbiosis	9
139	1	Athanasius_of_Alexandria	18
139	2	Athanasius_of_Alexandria	30
139	3	Athanasius_of_Alexandria	0
139	4	Athanasius_of_Alexandria	21
139	5	Athanasius_of_Alexandria	22
142	1	Slavs	34
142	2	Punjab,_Pakistan	21
142	3	Symbiosis	9
142	4	Symbiosis	8
142	5	Pesticide	18
145	1	Kathmandu	50
145	2	Kathmandu	7
145	3	Sino-Tibetan_relations_during_the_Ming_dynasty	6
145	4	Tibet	11
145	5	Kathmandu	16
148	1	Somerset	6
148	2	The_Times	49
148	3	Slavs	34
148	4	Punjab,_Pakistan	21
148	5	Slavs	11
151	1	Slavs	34
151	2	Punjab,_Pakistan	21
151	3	Symbiosis	8
151	4	Symbiosis	9
151	5	Institute_of_technology	9
154	1	Planck_constant	10
154	2	Slavs	34
154	3	Symbiosis	8
154	4	Symbiosis	9
154	5	Punjab,_Pakistan	21
157	1	Quran	23
157	2	Slavs	34
157	3	Textual_criticism	3
157	4	Pesticide	18
157	5	Symbiosis	9
160	1	Mammal	16
160	2	Bird	18
160	3	Slavs	34
160	4	Bird	20
160	5	Symbiosis	8
163	1	Symbiosis	8
163	2	Slavs	34
163	3	Symbiosis	9
163	4	Punjab,_Pakistan	21
163	5	Sahara	13
166	1	The_Times	50
166	2	Seven_Years%27_War	47
166	3	New_York_City	142
166	4	New_York_City	33
166	5	New_York_City	21
169	1	Muammar_Gaddafi	59
169	2	Muammar_Gaddafi	60
169	3	Muammar_Gaddafi	34
169	4	Muammar_Gaddafi	46
169	5	Muammar_Gaddafi	3
172	1	Slavs	34
172	2	Punjab,_Pakistan	21
172	3	Pesticide	18
172	4	Symbiosis	9
172	5	Symbiosis	8
175	1	Slavs	34
175	2	Szlachta	24
175	3	Punjab,_Pakistan	21
175	4	Symbiosis	9
175	5	Symbiosis	8
178	1	New_Haven,_Connecticut	62
178	2	New_Haven,_Connecticut	3
178	3	New_Haven,_Connecticut	65
178	4	New_Haven,_Connecticut	64
178	5	New_Haven,_Connecticut	43
181	1	The_Bronx	4
181	2	The_Bronx	6
181	3	The_Bronx	56
181	4	The_Bronx	15
181	5	The_Bronx	11
184	1	Russian_Soviet_Federative_Socialist_Republic	14
184	2	Russian_Soviet_Federative_Socialist_Republic	2
184	3	Black_people	31
184	4	Dissolution_of_the_Soviet_Union	0
184	5	Armenia	19
187	1	Catalan_language	20
187	2	Catalan_language	68
187	3	Catalan_language	30
187	4	Catalan_language	71
187	5	Catalan_language	25
190	1	Cotton	15
190	2	Cotton	16
190	3	Cotton	7
190	4	Cotton	23
190	5	Cotton	8
193	1	Plymouth	58
193	2	Religion_in_ancient_Rome	77
193	3	Multiracial_American	37
193	4	2008_Summer_Olympics_torch_relay	11
193	5	Portugal	8
196	1	Zhejiang	35
196	2	Tibet	6
196	3	Slavs	34
196	4	Punjab,_Pakistan	21
196	5	2008_Summer_Olympics_torch_relay	11
199	1	San_Diego	43
199	2	San_Diego	44
199	3	San_Diego	5
199	4	San_Diego	17
199	5	San_Diego	2
202	1	Slavs	34
202	2	Symbiosis	8
202	3	Punjab,_Pakistan	21
202	4	Symbiosis	9
202	5	Institute_of_technology	9
205	1	Alexander_Graham_Bell	47
205	2	Alexander_Graham_Bell	58
205	3	Westminster_Abbey	34
205	4	Alexander_Graham_Bell	33
205	5	Westminster_Abbey	33
208	1	Carnival	35
208	2	Slavs	34
208	3	Punjab,_Pakistan	21
208	4	Symbiosis	9
208	5	Pesticide	18
211	1	Institute_of_technology	9
211	2	Pub	60
211	3	Slavs	34
211	4	High-definition_television	3
211	5	Insect	31
214	1	Slavs	34
214	2	Brigham_Young_University	16
214	3	Brigham_Young_University	8
214	4	Brigham_Young_University	9
214	5	Punjab,_Pakistan	21
217	1	Cubism	30
217	2	Cubism	32
217	3	Cubism	34
217	4	Cubism	38
217	5	Cubism	31
220	1	Slavs	34
220	2	Punjab,_Pakistan	21
220	3	Symbiosis	8
220	4	Symbiosis	9
220	5	Institute_of_technology	9
223	1	Slavs	34
223	2	Punjab,_Pakistan	21
223	3	Symbiosis	8
223	4	Symbiosis	9
223	5	Institute_of_technology	9
226	1	Pub	76
226	2	Pub	60
226	3	Pub	8
226	4	Pub	79
226	5	Pub	4
229	1	Crucifixion_of_Jesus	20
229	2	Crucifixion_of_Jesus	7
229	3	Crucifixion_of_Jesus	14
229	4	Crucifixion_of_Jesus	10
229	5	Mary_(mother_of_Jesus)	37
232	1	Slavs	34
232	2	Punjab,_Pakistan	21
232	3	Institute_of_technology	9
232	4	Pesticide	18
232	5	Symbiosis	9
235	1	List_of_numbered_streets_in_Manhattan	0
235	2	List_of_numbered_streets_in_Manhattan	1
235	3	List_of_numbered_streets_in_Manhattan	3
235	4	Palermo	18
235	5	New_Haven,_Connecticut	14
238	1	Queen_Victoria	31
238	2	Queen_Victoria	12
238	3	Queen_Victoria	24
238	4	Queen_Victoria	26
238	5	Queen_Victoria	36
241	1	USB	24
241	2	USB	30
241	3	USB	29
241	4	USB	33
241	5	USB	2
244	1	Slavs	34
244	2	Institute_of_technology	9
244	3	Punjab,_Pakistan	21
244	4	Animal	5
244	5	Symbiosis	8
247	1	Slavs	34
247	2	Symbiosis	9
247	3	Symbiosis	8
247	4	Punjab,_Pakistan	21
247	5	Institute_of_technology	9
250	1	Slavs	34
250	2	Punjab,_Pakistan	21
250	3	Symbiosis	9
250	4	Symbiosis	8
250	5	Somalis	62
253	1	Samurai	40
253	2	Samurai	44
253	3	Samurai	43
253	4	Modern_history	7
253	5	Samurai	30
256	1	Slavs	34
256	2	Punjab,_Pakistan	21
256	3	Institute_of_technology	9
256	4	Symbiosis	8
256	5	Symbiosis	9
259	1	Planck_constant	13
259	2	Planck_constant	21
259	3	Planck_constant	17
259	4	Planck_constant	14
259	5	Planck_constant	20
262	1	Symbiosis	8
262	2	Emotion	33
262	3	Symbiosis	9
262	4	Materialism	15
262	5	Slavs	34
265	1	Dog	15
265	2	Dog	16
265	3	Dog	12
265	4	Dog	28
265	5	Dog	43
268	1	Annelid	9
268	2	Punjab,_Pakistan	21
268	3	Slavs	34
268	4	Jehovah%27s_Witnesses	38
268	5	Symbiosis	8
271	1	Mexico_City	0
271	2	Mexico_City	24
271	3	Mexico_City	85
271	4	Mexico_City	12
271	5	Mexico_City	83
274	1	Symbiosis	17
274	2	Slavs	34
274	3	Symbiosis	9
274	4	Symbiosis	8
274	5	Punjab,_Pakistan	21
277	1	Slavs	34
277	2	Punjab,_Pakistan	21
277	3	Symbiosis	8
277	4	Symbiosis	9
277	5	Institute_of_technology	9
280	1	Slavs	34
280	2	Punjab,_Pakistan	21
280	3	Symbiosis	9
280	4	Symbiosis	8
280	5	Institute_of_technology	9
283	1	Detroit	38
283	2	Chihuahua_(state)	63
283	3	Appalachian_Mountains	14
283	4	Slavs	34
283	5	Punjab,_Pakistan	21
286	1	East_India_Company	24
286	2	East_India_Company	28
286	3	East_India_Company	30
286	4	Dutch_Republic	15
286	5	History_of_India	64
289	1	Steven_Spielberg	1
289	2	Steven_Spielberg	21
289	3	Steven_Spielberg	40
289	4	Steven_Spielberg	46
289	5	Steven_Spielberg	34
292	1	North_Carolina	56
292	2	Raleigh,_North_Carolina	9
292	3	North_Carolina	52
292	4	North_Carolina	0
292	5	North_Carolina	48
295	1	Antarctica	3
295	2	Alps	17
295	3	Symbiosis	8
295	4	Symbiosis	9
295	5	Institute_of_technology	9
298	1	Cyprus	40
298	2	Cyprus	20
298	3	Cyprus	46
298	4	Cyprus	12
298	5	Cyprus	15
